Feature,Importance,Model
age,0.0,Decision Tree
sex,0.0,Decision Tree
bmi,0.8982537167829683,Decision Tree
Chol,0.03994496340105647,Decision Tree
TG,0.031376054675802775,Decision Tree
HDL,0.0304252651401724,Decision Tree
LDL,0.0,Decision Tree
age,0.2876408097547992,Random Forest
sex,0.007498205014155734,Random Forest
bmi,0.5049212452594194,Random Forest
Chol,0.06619117058028258,Random Forest
TG,0.0673451454812592,Random Forest
HDL,0.021985655760280127,Random Forest
LDL,0.04441776814980384,Random Forest
age,0.00993037037551403,XGBoost
sex,0.0,XGBoost
bmi,0.949431300163269,XGBoost
Chol,0.030548185110092163,XGBoost
TG,0.009379536844789982,XGBoost
HDL,0.0007105396362021565,XGBoost
LDL,0.0,XGBoost
